"smis_reference","report_url","event_date","period","place","sub_event","description","narrative","surface_type","surface_material","impeded_by","organisations_involved","injured_workforce_role","injured_workforce_activity","summary_cause","detailed_cause","total_accidental_fwi_2013","injuries_summary_2013"
SMIS4332269,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/4b41bd12-b32e-4043-9155-d2d7f75e15fd#!/report,2022-08-22 14:00:00.000,202206,Verney Jcn,slip trip or fall,PA - CD Central - Contractor sustained graze to hand and pain in ankle due to losing footing whilst exiting pickup at Section 2b. SCO 50951,"Location B2 Compound Contractor Volkerrail Ltd 133715 – EWR Alliance – Section 2b - Civils and Structures When exiting pickup to unlock the back to load straps, MOS turned his  ankle on uneven levels of the car park surface, barriers had been moved from original position when tarmac was laid, lost his footing. Self first aid - Minor grazing to hand to break fall, knee and pain in ankle. Minor Injury (No Lost Time)",,,,"Network Rail, VolkerRail",,,"Infrastructure, vehicles, equipment and clothing",Uneven,0.001,Workforce (on-duty): Non-severe
SMIS4332286,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/bbb0ee1a-3864-45b5-8080-b7569d03e481#!/report,2022-08-23 00:01:00.000,202206,Luton,slip trip or fall,PA- Contractor Vital Rail Operative slipped and struck their left ear causing a minor laceration at Luton. EM079. IRIS ref 22587.,At 00.01 IP (injured party) whilst moving rails using a rail turner slipped and struck themselves in the left ear causing a minor laceration at Luton.  IP and P-way applied immediate first aid to the injury and had escorted the IP to hospital.  No lost time anticipated.,Unknown,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Uneven,0.001,Workforce (on-duty): Non-severe
SMIS4332336,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/947f476e-f081-4907-b76e-01dad3b1ddaa#!/report,2022-08-24 03:00:00.000,202206,Wembley Stadium,slip trip or fall,PA - Saltley DU Staff Accident - Off Track Operative injured lower back due to falling whilst carrying out streaming activities at Wembley Stadium.,"At 0300 a member of Off track staff was carrying out streaming activities at Wembley Stadium Station. The individual tripped on some brambles and fell onto their buttocks. Since cooling down after the incident the individual was experiencing some lower back pain, however they expected to return to work as booked tomorrow. Level 0 form completed with COSS for activity and individual involved. COSS to contact on call manager. No lost time expected.",Unknown,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Uneven,0.001,Workforce (on-duty): Non-severe
SMIS4332808,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/f35ff328-3d9b-4c25-a985-c59bdba0e0bf#!/report,2022-08-31 00:15:00.000,202206,Farington,slip trip or fall,PA: Member of Preston Rail Testing twisted ankle whilst exiting works vehicle on uneven ground at Farington Curve Jn  IRIS 22922,"On Tuesday night (30/08/2022), IP was calibrating their equipment on the work bench in the back of the van at Slow Line Sidings Access point (CGJ5) waiting for the worksite to be granted. When stepping out the van, the IP seemed to slip when he stood on uneven ground and fell forward, going over on their ankle.  The IP struggled walking on their sore foot and rested and elevated it. The next day, IP went to hospital and they said they had suffered tissue damage in their ankle. At that point, he reported the accident to fault control.  He was subsequently signed off work for two weeks.",Level,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.01,Workforce (on-duty): Severe 7
SMIS4332803,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/221004dd-61e6-4261-a9eb-df728812807d#!/report,2022-09-01 11:44:00.000,202206,Chesterfield,slip trip or fall,PA – DU Doncaster Technician slipped getting out of their van and injuring their left ankle at Old Whittington. IRIS 22821,"At 1144, it was reported that a Network Rail Technician based at Doncaster Marshgate, had attended Old Whittington REB to carry out general maintenance work, when they slipped getting out of their van, injuring their ankle. The member of staff attended hospital for assessment. No Absence from work expected. No first aid given and hospital visit was required.",Unknown,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Other surface condition,0.125,Workforce (on-duty): Specified
SMIS4332921,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/d358a318-3fc6-48cf-8d92-92ff8512c804#!/report,2022-09-02 11:00:00.000,202206,Sheffield,slip trip or fall,PA – Contractor Story Rail Ltd Operative went through a scaffold board and hurt his left calf at Sheffield. (SOC 50992). IRIS ref 22924.,"At 11:00 IP (injured party) stated that his left foot went through the scaffold board which caused him to rock back on himself and hurt his calf at Sheffield.  First aid was given, and further treatment was declined.",Unknown,,,"Network Rail, Story Rail Ltd",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333045,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/4c76960d-9de2-4a4b-b718-4d40bdb44867#!/report,2022-09-03 12:15:00.000,202206,Aberthaw,slip trip or fall,PA. CD Contractor lost footing and fell at Aberthaw. SCO50997,"A contractor was moving the base of a Robel clipping machine and lost his footing and fell. This caused the worker to catch his right hand on the end of the sleeper which had become visibly swollen. He has gone to local minor injuries A&E to have it looked at. He didn’t sustain any broken bones. His hand was a bit swollen, and he was in some pain but that was the limit of his injuries.",Level,,,"Colas Rail, Network Rail",Infrastructure worker (non-track),Duties to maintain track or infrastructure,Human performance factors,Other task carried out incorrectly,0.001,Workforce (on-duty): Non-severe
SMIS4333207,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/a62da1e7-eb15-400a-9e8a-ee1106f543a7#!/report,2022-09-05 04:00:00.000,202206,Cramlington,slip trip or fall,PA - Contractor walked up the access stairs and tripped twisting his ankle at Cramlington - SCO-51014. IRIS ref 22962.,"At 04.00 a contractor walking up access stairs, tripped and twisted ankle.  IP continued his duties. Location from IRIS ECM7 1074c - Cramlington",Steps and stairs,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333098,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/17bb43f2-2ddb-4aaf-bd4c-841f7a1118da#!/report,2022-09-06 01:27:00.000,202206,British Steel Redcar,slip trip or fall,PA - Principal Technical officer twisted their right ankle whilst undertaking track inspections at Redcar. IRIS ref 22989.,"At 01.36 (Mon), it was reported that a member of track staff twisted their right ankle on ballast whilst undertaking track inspections at British Steel (Redcar). The staff member attended hospital to have their injuries assessed. Update - Rest being taken and will then return to work on office duties",Unknown,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333110,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6ad6bfdd-ec24-4ce8-a555-7e82383b3177#!/report,2022-09-06 13:09:00.000,202206,Crewe,slip trip or fall,PA: Operative sprained ankle when walking trackside at Crewe IRIS 22976,"At 1309 whilst walking trackside, Operative slipped and twisted ankle.",Level,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,,,0.001,Workforce (on-duty): Non-severe
SMIS4333107,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/a3b5de16-33c5-45ee-bad5-d0b9b7108430#!/report,2022-09-06 23:59:00.000,202206,Carmarthen,slip trip or fall,Minor Carmarthen Employee slipped on walkway,"Employee had injury to left arm and head, no first aid given or time off recorded  - Accident form received from the Chargeman at Carmarthen that he slipped and lost his footing on the walkway between the platform and the ground frame due to there is no lighting on it, . Chargeman reported hitting his head and hurt his left arm but does expect to be able to continue at work. Employee report reads: lighting removed on walking route between UP platform and ground frame 2. Torch provided some illumination but very limited. As I was walking back to the UP platform so I was holding torch so light was a few feet ahead of me so I didn't see the board immediately at my feet and lost my footing. Initial Accident Report States: Chargeman was operating points and walking back up walking route from ground frame 2 to P2. NR work is ongoing, meaning no lighting on the walking route for the next two weeks and Chargemen required to use torch. Chargeman was using the torch but didn't see something immediately below his feet and tripped, hitting his head and injuring his arm against a post. Chargeman has expressed felling shaken to his colleagues however is now on a rest day going into annual leave. Expressed he was willing to continue duties following the incident. Alerted by NR on 6 September that lighting on walking route to ground frame 2 would be off for 2 weeks from that day and that chargemen would have to use torches while using ground frame. This was the previous arrangement several years ago before lighting was installed. Chargeman was walking back from ground frame to up platform (P2) and scanning the ground several feet in front of him. However he caught his foot on something immediately below his feet that the torch hadn't picked up and fell, hitting his left side and head. Chargeman is not 100% sure what he hit - either a metal handrail post or the butt of his torch against his head in the fall. Shaken up but ok to complete his shift.",Level,,,"Network Rail, Transport for Wales Rail",Platform staff and station staff,Other platform and station duties,Environmental conditions and related factors; Human performance factors,Too dark; Tripped over own feet/missed footing,0.001,Workforce (on-duty): Non-severe
SMIS4333189,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b169715c-0d9c-4c23-956a-7019da26f4d3#!/report,2022-09-07 01:30:00.000,202206,Eccles,slip trip or fall,PA: Operative tripped whilst carrying a baseplate and bruised right hand at Eccles,"Operative for Manchester DU sustained a small cut and bruising to his right hand after tripping whilst carrying a base plate. First aid given, no hospital treatment required.",Level,,Other: Baseplate,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333197,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6ac25fa2-4cbf-4aad-aa70-9d465ac11217#!/report,2022-09-07 11:00:00.000,202206,Linby,slip trip or fall,PA - IP stepped onto ballast from REB and rolled his ankle causing swelling at Linby Colliery REB. IRIS ref 22941.,"At 11.00 IP stepped out of the REB and in stepping from REB to ballast rolled his ankle, the ankle swelled up and the team leader drove the van back to the depot. IP drove home and rested his ankle, he was not in work again until Saturday.",Unknown,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333562,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/e3ce7842-84ba-4f02-b07e-49d4f3fa7fc4#!/report,2022-09-09 01:50:00.000,202206,Ealing Broadway,slip trip or fall,"PA - An Eastern DU Operative was walking in the 4ft and slipped on a piece of ballast at Ealing Broadway, strain with light swelling to right wrist - IRIS 23087","An Eastern DU Operative was walking in the 4ft and slipped on a piece of ballast at Ealing Broadway, strain with light swelling to right wrist. Full PPE was worn.",Level,,,"MTR Elizabeth line, Network Rail",Track worker - Other,Duties to maintain track or infrastructure,Environmental conditions and related factors,Rain,0.001,Workforce (on-duty): Non-severe
SMIS4333516,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/ba44d25a-3df9-4dd3-8cbc-bc16d0651215#!/report,2022-09-09 22:30:00.000,202206,Heyford (Oxon),slip trip or fall,PA - Sandwell & Dudley DU - Team Leader injured their knee due to tripping on uneven ground at Heyford.,"Individual was walking to the PSP at Heyford, when he tripped on uneven ground, landing on his left knee. Initially there was no issued experienced, however; when he woke up the next morning, the individual was suffering from pain and discomfort. This was the same knee that he had previously had issues with.  No hospital attendance was required, but individual was waiting for the doctor to get back in contact to see him. Individual has taken co-codamol to lessen the pain. Staff accident DL and line manager emailed the details.",,,,Network Rail,Other: Team Leader [Distribution & Plant],Other duties: Walking,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333411,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/4c50dc6f-7dda-4701-b118-1de20e7b081e#!/report,2022-09-10 23:30:00.000,202206,Sutton Common,slip trip or fall,PA - Cap Del WD contractor whilst using the Pan Puller had fallen backwards at Sutton Common and bruised his arm and injured their wrist.  IRIS 23030,"At 00:39 (11/09/2022) Balfour Beatty advised a contractor accident had taken place at Sutton Common. At approx. 23:30 a member of CRS track staff was keying up a rail clip to the EG49 sleepers and he pulled the pan puller, at the same time the hook on the puller came off the clip suddenly which caused the IP to fall back and land between sleepers on his left thumb, straining his thumb and light bruised his arm.  The IP was able to walk and said he felt ok just some pain and discomfort with his left thumb. Balfour Beatty Project Manager assisted the IP back to welfare area to assess further. The IP initially advised he did not need to go to hospital, but after applying ice the pain still persisted. Decision made for the IP to attend hospital to seek further medical attention. The IP was taken to hospital by a BB rep. Accident form completed and Golden Hour process was undertaken. 6 hr update on 11/09/2022 at 05:45 reported that the IP was still at the A&E, waiting to be seen. He had a bit more movement in his thumb than earlier, but it was still painful. Further update will be provided once he had been seen. At 06:30 the IP had been seen at seen at A&E. The doctor could not see anything on the x-rays, but suspected that he may have a fractured scaphoid bone. He had been given painkillers and a wrist support, which he has to wear for 10 days and then go back to see his doctor. The IP was back in tonight. At 21:26 an update to advise that the IP was not going to be in tonight. The pain had eased slightly, but he was going to rest tonight to prevent aggravating the injury.",Unknown,,Lineside equipment,"Balfour Beatty Rail Ltd., Govia Thameslink Railway, Network Rail",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.01,Workforce (on-duty): Severe 7
SMIS4333472,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/c538bdb0-cdbb-4ef8-a6ef-9028b224db30#!/report,2022-09-11 02:20:00.000,202206,Coopers LC,slip trip or fall,PA – Contractor Amey Rail Operative slipped on uneven ground and twisted ankle at Cooper Bridge Culvert.  SCO 51032 IRS 23007,"At 03:09 Operative slipped on uneven ground and twisted ankle at Cooper Bridge Culvert.	 Helped to recover off site, no hospital visit required.",Unknown,,,"Amey Rail, Network Rail",Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Uneven,0.001,Workforce (on-duty): Non-severe
SMIS4333412,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b201ca3a-0684-4031-ac8a-e67e6d0f8a58#!/report,2022-09-11 04:20:00.000,202206,Carlisle North Jcn,slip trip or fall,PA: Lancs & Cumbria DU - Member of staff sustained bruising to their lower back after slipping on the track at Carlisle North Junction. IRIS 23044,"Whilst carrying out lubrication work, a member of staff slipped when tightening a bolt and fell onto the railhead causing bruising to his lower back.",Level,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333582,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/7dd0393b-fde4-4cda-8920-9d3858c2ecca#!/report,2022-09-13 02:19:00.000,202206,Wymondham,slip trip or fall,PA - Tottenham DU - IP twisted right ankle slipping on ballast at Wymondham. No time lost anticipated - source - Control report. IRIS ref 23223.,"Staff accident reported at Wymondham. P-way operative working on the track digging a hole in the ballast, stepped back and turned and the ballast moved a little and the operative slipped and twisted his right ankle. No first aid was given and the operative won't go to hospital but the male hasn't yet taken his boot off and this might causing swelling when he does.",,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4333942,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/0880e042-ef87-48f2-9a3c-53b3143ec85f#!/report,2022-09-20 02:30:00.000,202207,South Tottenham,slip trip or fall,PA - Tottenham DU - Member of staff twisted their ankle whilst walking along the ballast at South Tottenham. Not time lost - source: NR2072P,Cheshunt P&D reported a member of staff twisted their ankle whilst walking along the ballast at South Tottenham whilst carrying out point maintenance. IP was  resting in the van no first aid given or visit to the hospital required.,,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4334033,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/8632a98c-294f-41a8-b177-fe2f87964678#!/report,2022-09-21 09:00:00.000,202207,Carlisle Upperby,slip trip or fall,PA: Lancs & Cumbria DU - Member of P/way staff tripped over the rail and twisted their left knee at Upperby.,A member of P/way staff twisted their left knee after tripping over the rail at Upperby. Consequently they were off work for 13 days.,Unknown,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.01,Workforce (on-duty): Severe 7
SMIS4334139,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/8855610e-4a10-476e-aa40-5e66ccd6f3ff#!/report,2022-09-22 13:15:00.000,202207,Southall,slip trip or fall,"PA - Eastern DU OLE Team leader was gaining access to the line through the access gate and tripped over a bush and the rail, landing on their right knee. at Southall Iron Bridge access","The IP (Eastern DU MOS) was gaining access to the line through the access gate and tripped over a bush and the rail, landing on their right knee and using 1 hand to break their fall, they were also clutching a work phone with the other hand. Full PPE was worn.",Level,,Other: phone,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Infrastructure affected by environmental conditions,0.001,Workforce (on-duty): Non-severe
SMIS4334334,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/915765cb-aa75-4360-81aa-1ae3908f1682#!/report,2022-09-25 15:00:00.000,202207,Battersea Park,slip trip or fall,PA: Croydon DU - Member of staff sprained their left ankle after losing their footing in long grass at Battersea.,"Member of staff was returning tools to the works van at Battersea Dogs Home access point following tamping work at Battersea Pier, when they lost their footing in long grass and sprained their left ankle. The IP completed their shift and reported the incident the following day when their ankle was painful and swollen.",Unknown,,Hand tool,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Uneven,0.001,Workforce (on-duty): Non-severe
SMIS4334362,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/21ae5182-297f-44bc-b073-57d4d53ff3d0#!/report,2022-09-27 02:45:00.000,202207,Denmark Hill (Cat Loop),slip trip or fall,"PA - (Orpington DU) - IP slipped and lost footing and fell, and confirmed dislocation to left knee at Denmark Hill. IP SCO 51089.  Lost time? 7 plus..","IP has slipped lost footing and fallen possibly dislocating his left knee.   He has been told to rest and has been given ice packs until they taken to hospital. GOLDEN HOUR 6 HOUR UPDATE Responsible Manager reports : the IP now out of hospital, X-ray was fine but requires follow up MRI. Currently on crutches and leg splint on. IP driven home. IP will update (Line Manager) when he wakes up later today. 24 HOUR UPDATE IP  at home resting. It was confirmed that he did dislocate his knee, but popped it back into place. He is awaiting a MRI referral. It is expected substantial time off. Location: Denmark Hill Lost time? Yes. 7 plus Injury: Left knee, MEDICALLY confirmed dislocation. Cause: Pending receipt of NR2072P/IRIS",Unknown,,,Network Rail,,,Cause not known,Cause not known,0.01,Workforce (on-duty): Severe 7
SMIS4334504,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/8b150790-508a-48f1-9bc7-c588b4e17536#!/report,2022-09-27 03:00:00.000,202207,Penkridge,slip trip or fall,PA - Stafford DU Staff Accident - Technician bruised their elbow due to slipping on ballast whilst unloading a trolley at Penkridge.,A Stafford DU Technician whilst unloading a trolley slipped on the ballast and landed on his right elbow.  No lost time confirmed.,,,,Network Rail,Track worker - Other,Lifting or loading,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4334516,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/3e521c6a-e43d-4e5b-9316-b438809649aa#!/report,2022-09-27 04:30:00.000,202207,Ipswich,slip trip or fall,"PA (Route Services) - McGinley's contractor fell down a ditch after completing his shift doing prep work for the TRS. Base Green, near Ipswich. IRIS: 23297 Lost time YES. Confirmed by RS SHE Assistant","At 04:30 hours MOS fell down a ditch after completing his shift doing prep work for the TRS. MOS went to hospital for check up. (possible sprained ankle). Location: Base Green, near Ipswich Injury: Possible sprained ankle. Lost time? YES Cause: PENDING IRIS REPORT",Unknown,,,"McGinley Support Services (Infrastructure) Ltd, Network Rail",,,Cause not known,Cause not known,0.01,Workforce (on-duty): Severe 7
SMIS4335408,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/1f0a8399-7966-4b4c-9e9a-38ace3fb7ecd#!/report,2022-09-28 06:30:00.000,202207,Wimbledon (Main Line),slip trip or fall,PA - Wessex Ops Inner - A welfare office fell onto the track at Wimbledon after their blood sugar levels dropped.,"At 06:30 a Welfare Officer who is registered diabetic, fell from the platform at Wimbledon and onto the track due to his blood sugar levels being incorrect. The Welfare Officer had not been aware of their levels due to a fault with their monitoring device. They were checked over by the paramedics at the station before being advised to go to hospital. They were later fitted with a new device that had a fail-safe functionality.",Level,,,Network Rail,Other: Welfare Officer,,"Fatigue, health and wellbeing",Medication,0.001,Workforce (on-duty): Non-severe
SMIS4335793,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/ae320ffa-6d55-4db1-8316-d0b689bf202b#!/report,2022-09-29 01:00:00.000,202207,Inverkip,slip trip or fall,PA Motherwell DU: MOS retrieving a tool bag from rear of van injured neck and back after step gave way at Inverkip.,Company: Networkrail: Paisley S&T Date of Accident: 29/09/22 Time of Accident:01:00 Location of Accident: Inverkip Accident Description/Nature of Injury: MOS went to hired van  to retrieve tool bag when the rear step gave way and he jarred neck and back. Hospital Visited?:No Subsequent Absence from Work Anticipated?:No Supervisor advised:Y,Level,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing",Non-rail vehicle fault,0.001,Workforce (on-duty): Non-severe
SMIS4334799,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/438c9f4b-4b4e-41bb-b385-9fb6cba6e058#!/report,2022-10-02 15:00:00.000,202207,Newcastle East Jcn,slip trip or fall,PA – Contractor CRSA Supervisor trapped his right foot between the rail and the grounded track panel at Newcastle East.  (SCO 51107) IRIS 23685,At 15:00 whilst installing prefabricated track panels at Newcastle East a supervisor working for CRSA trapped his right foot between the rail and the grounded track panel.	 The (injured party) IP received first aid and declined hospital; IP resumed his duties following reporting the accident.,Unknown,,,"Balfour Beatty Rail Ltd., Balfour Beatty Rail Services, Network Rail, Other, CrossCountry",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4334780,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b21efa4e-b354-446e-8927-2e0f674f991a#!/report,2022-10-02 17:19:00.000,202207,Farnborough,slip trip or fall,PA - (Cap Del Wessex WDU) - Contractor (Onsite Rail Services) - STF on rail pad in the cess sustained head and arm injuries at Farnborough. NLT. IRIS: 23411,"At 16:30 hours, IP was walking in the Up cess from Farnborough towards Brookwood when he slipped over a rail pad causing a bump on his head, left wrist to swell and grazing to his right arm elbow. 4 rail pad rolls had been left in the up cess, now been removed. IP was wearing brand new safety boots with sufficient grip and wears a size 11 boots. IP was fit to continue work however carried-out light duties. Location: Farnborough - Up cess. Injury:  Bump on his head, left wrist swell and grazing to his right arm elbow. Lost time? No.",Level,,,"Network Rail, Other, CrossCountry",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4334903,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/04c57e61-5485-410a-8fec-64da6564edab#!/report,2022-10-03 10:30:00.000,202207,Euston,slip trip or fall,PA - Euston DU - Apprentice whilst walking turned to acknowledge a train stood on a motion sensor lost footing and twisted/sprained ankle on line B at Euston. IRIS 23422,Whilst walking on line B 0m 64ch a Euston DU Apprentice  turned to acknowledge a train stood on motion sensor lost footing  which caused ankle to twist.  Individual was helped off the line at Euston station and went to the walk in centre to be checked over. Lost time confirmed.,,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4334979,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/f336668a-9202-49c0-92ca-39966f41733a#!/report,2022-10-04 03:55:00.000,202207,Salisbury,slip trip or fall,"PA (Basingstoke DU - Wessex Outer) - IP pulled muscle at the top of his leg, IP was stepping into six foot when ballast gave way and overstretched his leg at Salisbury. NLT.","At 04:55 hours IP called to self report a slip earlier on which resulted in a pulled muscle at the top of his leg, IP was stepping into six foot when ballast gave way and overstretched his leg. Location of accident: Salisbury. Injury: Top of leg pulled muscle. Absence from work anticipated: No. 6 hour update.  IP rested and is expected to attend work tomorrow.",Level,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4335103,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/eeaeccb1-e6bc-4082-bf46-0002a9c18876#!/report,2022-10-06 05:00:00.000,202207,Kettering North Jcn,slip trip or fall,"PA – Contractor Story Rail Ltd Operative fell from a ladder after the deck beam slipped and struck it, they had sustained severe bruising to their torso and a broken ankle at Kettering North.  SCO-51131. IRIS ref 23523.","At 05:00 whilst installing a bridge deck beam using a crane at Kettering North, the deck beam slipped and rotated and subsequently struck the ladder and the operative then fell approx. 10m from the ladder. Operative sustained severe bruising to his torso and a broken ankle. CCIL 2556394. First aid was administered but further treatment was required, Operative was then taken to the nearest A&E. Works were stopped and a line blockage was taken to keep the area secured. Reported to Network Rail project managers. MOM attended site. Possession overran and caused significant disruption to the East Coast Mainline. Immediate cause from L2: During the 8th and final lift of the shift, edge beam 8 which is on the low mileage side was landed on to the bearing pad. The weight of the edge beam was released after confirmation that it was sitting aligned to the abutment. The edge beam appeared to roll off the bearing pad towards the track / low mileage. IP was on a ladder checking the alignment of the beam against the abutment. The uncontrolled movement of edge beam No 8 struck the sub-contractor IP on the back which caused the IP to fall/jump off the ladder, landing in the cess. The sub-contractor operative IP fractured his ankle.",Unknown,,,"Network Rail, Other, CrossCountry, Story Rail Ltd",Infrastructure worker (non-track),Duties to maintain track or infrastructure,Cause not known,Cause not known,0.125,Workforce (on-duty): Specified
SMIS4335312,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/2f8f1cfc-c7a1-4461-9d4b-62d80bbf732a#!/report,2022-10-09 14:30:00.000,202207,Westenhanger,slip trip or fall,PA - Ashford DU MOS tripped on brambles at Westenhanger and sustained a strain to the lower back. (Late Reported) SCO 51142,"LATE REPORTED At 10:07 (10/10/2022) it was reported that the IP stated that he was on top of an embankment when his feet became entangled in some brambles. He had tripped and felt a pop in his back but did not think anything of it as he did not feel any pain. However last night he began to feel pain in his lower back. He had come into work today and planned to stay. He was in discomfort but felt he could stay. If he worsened, he would seek medical attention. He was with his manager and doing site visits today. 10/10/2022 at 13:17 Update: IP's line manager had advised that IP was in a lot of pain but was able to carry out site inspections and light duties today and would check on IP throughout the day. 10/10/2022 at 14:58 24hr update:  IP's line manager advised that the IP was asking his doctor for some treatment. There was no time lost.",Unknown,,,"Network Rail, Southeastern",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4335360,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/99613b9c-1838-42da-bdef-2dc1796e8450#!/report,2022-10-10 10:20:00.000,202207,Exeter Central,slip trip or fall,PA - Western DU MOS was walking and twisted their leg on a rock at Cockwood Harbour (access point),"Injured person was walking down the official access point at Cockwood Harbour access point when he stepped on a rock which twisted his left leg. Pain killers were taken at site, no need for medical treatment at the moment, and he will see how the injury goes through the day, full PPE was worn, and Supervisor informed. Updates: A member of the Off-Track team that had twisted their left knee whilst stepping on a rock in the ground. They did not receive first aid on site at the time of the accident but did take some pain killers and continued with their shift. After their shift, they visited A&E and have been advised to rest at home for 7 days to allow minor swelling to reduce and will then be reassessed by their doctor after the 7 days. This accident had now resulted in a RIDDOR. Updates (09/11/2022): Have been informed by the section manager, of the IP, today that they have had their medical assessment and have had their sick note extended to the 01.12.22. Updates (28/02/2023): The IP: Was due back today, but has had their sick note extended for a further 2 weeks. Will update in 2 weeks time. (19/04/2023) updates on return to restrictive duties work date: 18/04/2023 (191 days). Updates on return to work full duties: tbc (15/05/2023).",Level,,,Network Rail,Other: Team Leader,Other duties: Walking,Environmental conditions and related factors,View obscured or visibility impacted,0.01,Workforce (on-duty): Severe 7
SMIS4335311,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/8810f468-7def-45ec-90b5-c0dcfaf279ec#!/report,2022-10-10 10:32:00.000,202207,Crismill,slip trip or fall,PA - Singlewell DU Contractor had slipped in a rabbit hole at Crismill Crossover and sustained a strain to his back.,"At 10:32 A member of Railscape working at 68.500kp on the Down side of HS had reported having a slip at work to the AFCSM. The Injured Party was mowing when he slipped on a rabbit hole, hurting his back. The IP was working within a team so not alone, has informed his line manager, did not require first aid or further medical care and continued working with no requirement to leave. AFCSM advised monitoring the situation and informing his supervisor/line manager if his pain worsened and seek medical attention if he has to stop working.",Unknown,,,"Network Rail, Other, CrossCountry",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
